provider,model,repeat,tasks,tasks_passed,score,max_score,score_pct,hard_failed
poe,gpt-5.5,1,12,9,46,60,0.7666666666666667,2
poe,gpt-5.5,2,12,9,46,60,0.7666666666666667,2
poe,gpt-5.5,3,12,9,46,60,0.7666666666666667,2
poe,gemini-3.1-pro,1,12,8,44,60,0.7333333333333333,1
poe,gemini-3.1-pro,2,12,8,44,60,0.7333333333333333,1
poe,gemini-3.1-pro,3,12,8,44,60,0.7333333333333333,1
poe,kimi-k2.5,1,12,11,54,60,0.9,0
poe,kimi-k2.5,2,12,11,54,60,0.9,0
poe,kimi-k2.5,3,12,11,54,60,0.9,0
poe,glm-5,1,12,10,45,60,0.75,2
poe,glm-5,2,12,10,45,60,0.75,2
poe,glm-5,3,12,10,45,60,0.75,2
poe,claude-opus-4.7,1,12,9,46,60,0.7666666666666667,1
poe,claude-opus-4.7,2,12,9,46,60,0.7666666666666667,1
poe,claude-opus-4.7,3,12,9,46,60,0.7666666666666667,1
