protocol_id,required_artifact,coverage_status,evidence_ref,claim_boundary
trellm-v0.3-iclr-protocol,direct-provider manifest schema or contract,covered-by-fixture,direct_api_pilot,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,raw seed rows,covered-by-fixture,direct_api_pilot;execution_ladder;memory_contamination,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,aggregate rows,covered-by-fixture,execution_ladder;memory_contamination,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,significance table,covered-by-fixture,memory_contamination,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,ranking-stability table,covered-by-fixture,execution_ladder,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,contamination probe report,covered-by-fixture,memory_contamination,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,contamination-control readiness audit,covered-by-artifact,contamination_control_audit,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,execution-sensitivity report,covered-by-fixture,execution_ladder,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,FinAudit pilot report,covered-by-fixture,finaudit_pilot,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,power curve or detectable effect note,covered-by-artifact,power_detectable_effect_note,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,variance decomposition table,covered-by-artifact,variance_decomposition,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,claim-boundary audit,covered-by-artifact,claim_boundary_audit,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,direct API redaction and submission checklist,covered-by-artifact,direct_api_submission_checklist,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,direct API model matrix plan,covered-by-artifact,direct_api_model_matrix_plan,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,direct API model matrix gate,covered-by-artifact,direct_api_matrix_gate,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,external reproduction report gate,covered-by-artifact,external_reproduction_gate,Public artifact coverage supports protocol plumbing and claim boundaries; scientific claims require non-fixture direct API rows and scale thresholds.
trellm-v0.3-iclr-protocol,external reproduction bundle,open-gap,gap:external_reproduction_reports,Required by protocol but not yet satisfied by public v0.3 artifacts.
